country_name,country_code,continent_name,accessions,seeds,taxa,genebanks,id
Afghanistan,AFG,Asia,5502,2921842,265,29,1597090
Albania,ALB,Europe,2632,775188,211,15,1597091
Albania,SOM,Europe,9,2250,1,1,1597092
Algeria,DZA,Africa,3283,1532815,194,20,1597093
American Samoa,ASM,Oceania,10,2900,3,2,1597094
Andorra,AND,Europe,1,,1,1,1597095
Angola,AGO,Africa,158,74849,18,11,1597096
Antigua and Barbuda,ATG,North America,96,68050,20,6,1597097
Argentina,ARG,South America,5408,2606757,468,30,1597098
Armenia,ARM,Asia,1022,537682,232,22,1597099
Australia,AUS,Oceania,9988,3417549,799,32,1597100
Austria,AUT,Europe,2301,1213989,469,22,1597101
Azerbaijan,AZE,Asia,2721,1208920,342,21,1597102
Bahamas,BHS,North America,11,3864,7,7,1597103
Bahrain,BHR,Asia,3,2559,1,2,1597104
Bangladesh,BGD,Asia,7883,3735173,74,15,1597105
Barbados,BRB,North America,58,24198,4,4,1597106
Belarus,BLR,Europe,521,383114,61,13,1597107
Belgium,BEL,Europe,592,251826,184,24,1597108
Belize,BLZ,North America,278,174167,73,10,1597109
Benin,BEN,Africa,1271,647874,30,11,1597110
Bermuda,BMU,North America,2,200,1,1,1597111
Bhutan,BTN,Asia,578,320164,15,12,1597112
Bolivia,BOL,South America,3789,1152921,343,29,1597113
Bosnia and Herzegovina,BIH,Europe,1088,493945,147,8,1597114
Botswana,BWA,Africa,996,799240,42,14,1597115
Brazil,BRA,South America,14963,7973928,445,32,1597116
British Indian Ocean Territory,IOT,Asia,1,1000,1,1,1597117
British Virgin Islands,VGB,North America,55,27748,2,4,1597118
Brunei,BRN,Asia,206,112183,2,1,1597119
Bulgaria,BGR,Europe,3914,1864750,449,26,1597120
Burkina Faso,BFA,Africa,3116,3708099,30,12,1597121
Burma (former),BUR,Africa,955,437868,9,3,1597122
Burundi,BDI,Africa,1244,2259088,78,14,1597123
Cambodia,KHM,Asia,5011,2207457,41,5,1597124
Cameroon,CMR,Africa,5103,5758325,70,12,1597125
Canada,CAN,North America,14614,10547387,444,24,1597126
Cape Verde,CPV,Africa,9,12507,3,1,1597127
Central African Republic,CAF,Africa,738,800294,25,10,1597128
Chad,TCD,Africa,804,728825,28,11,1597129
Chile,CHL,South America,3153,1419589,128,27,1597130
China,CHN,Asia,28726,12600254,657,31,1597131
Colombia,COL,South America,10409,5167237,383,31,1597132
Comoros,COM,Africa,1,153,1,1,1597133
"Congo, Democratic Republic of the",COD,Africa,592,193266,44,10,1597134
"Congo, Republic of the",COG,Africa,85,64463,17,10,1597135
Cook Islands,COK,Oceania,2,1000,1,1,1597136
Costa Rica,CRI,North America,1904,571013,142,23,1597137
Cote d'Ivoire,CIV,Africa,5208,2151335,33,11,1597138
Croatia,HRV,Europe,443,185063,123,15,1597139
Cuba,CUB,North America,860,398026,118,22,1597140
Cyprus,CYP,Asia,1489,690347,163,17,1597141
Czechoslovakia,CSK,Europe,1485,656200,267,20,1597142
Czech Republic,CZE,Europe,1109,516079,192,18,1597143
Denmark,DNK,Europe,3770,1849036,354,20,1597144
Djibouti,DJI,Africa,2,900,2,2,1597145
Dominica,DMA,North America,7,2000,5,2,1597146
Dominican Republic,DOM,North America,421,173126,30,14,1597147
Ecuador,ECU,South America,3424,1061395,218,28,1597148
Egypt,EGY,Africa,2377,1025589,174,26,1597149
El Salvador,SLV,North America,1229,465779,74,18,1597150
Equatorial Guinea,GNQ,Africa,17,4325,4,3,1597151
Eritrea,ERI,Africa,965,653137,24,9,1597152
Estonia,EST,Europe,305,161523,72,14,1597153
Ethiopia,ETH,Africa,24063,15961064,545,30,1597154
Falkland Islands (Islas Malvinas),FLK,South America,1,100,1,1,1597155
Faroe Islands,FRO,Europe,8,13265,4,2,1597156
Fiji,FJI,Oceania,52,20971,16,7,1597157
Finland,FIN,Europe,2034,1060273,155,20,1597158
France,FRA,Europe,5717,2060622,643,29,1597159
French Guiana,GUF,South America,35,19793,11,6,1597160
French Polynesia,PYF,Oceania,1,800,1,1,1597161
Gabon,GAB,Africa,55,15204,14,4,1597162
"Gambia, The",GMB,Africa,537,346039,13,9,1597163
Georgia,GEO,Asia,2953,1656615,549,23,1597164
German Democratic Republic (former),DDR,Europe,715,322030,222,6,1597165
Germany,DEU,Europe,15587,6800884,1099,26,1597166
Ghana,GHA,Africa,1425,1188180,53,16,1597167
Gibraltar,GIB,Europe,2,100,1,1,1597168
Greece,GRC,Europe,5163,2436365,467,26,1597169
Greenland,GRL,North America,99,250748,12,3,1597170
Grenada,GRD,North America,48,21168,3,5,1597171
Guadeloupe,GLP,North America,63,29032,8,9,1597172
Guam,GUM,Oceania,11,4450,6,3,1597173
Guatemala,GTM,North America,5164,1289374,174,31,1597174
Guinea,GIN,Africa,1484,648941,25,11,1597175
Guinea-Bissau,GNB,Africa,114,53059,2,2,1597176
Guyana,GUY,South America,179,74603,23,12,1597177
Haiti,HTI,North America,253,74704,9,10,1597178
Heard and Mc Donald Islands,HMD,Antarctica,2,400,2,1,1597179
Honduras,HND,North America,1598,662746,122,19,1597180
Hong Kong,HKG,Asia,84,34148,21,7,1597181
Hungary,HUN,Europe,3415,1341677,379,26,1597182
Iceland,ISL,Europe,459,232650,28,6,1597183
India,IND,Asia,72168,94934159,520,35,1597184
Indonesia,IDN,Asia,13288,6996854,194,20,1597185
Iran,IRN,Asia,15194,6421401,443,28,1597186
Iraq,IRQ,Asia,1469,627787,217,18,1597187
Ireland,IRL,Europe,1547,1028420,120,15,1597188
Israel,ISR,Asia,3539,1113312,299,28,1597189
Italy,ITA,Europe,6779,2962457,774,30,1597190
Jamaica,JAM,North America,133,45501,23,14,1597191
Japan,JPN,Asia,8883,4029606,312,26,1597192
Jordan,JOR,Asia,2867,1102581,164,17,1597193
Kazakhstan,KAZ,Asia,1427,1081667,214,19,1597194
Kenya,KEN,Africa,5801,12874922,323,30,1597195
"Korea, North",PRK,Asia,9493,4746936,148,13,1597196
"Korea, South",KOR,Asia,20058,9122942,116,21,1597197
Kuwait,KWT,Asia,1,500,1,1,1597198
Kyrgyzstan,KGZ,Asia,442,340074,106,17,1597199
Laos,LAO,Asia,16322,7786097,68,12,1597200
Latvia,LVA,Europe,93,52843,41,12,1597201
Lebanon,LBN,Asia,1373,1505690,140,17,1597202
Lesotho,LSO,Africa,340,357877,17,6,1597203
Liberia,LBR,Africa,3429,1539660,12,8,1597204
Libya (Libyan Arab Jamahiriya),LBY,Africa,2603,1163481,162,14,1597205
Lithuania,LTU,Europe,149,72817,50,13,1597206
Luxembourg,LUX,Europe,2,400,1,1,1597207
"Macedonia, Former Yugoslav Republic",MKD,Europe,1155,454947,41,11,1597208
Madagascar,MDG,Africa,4389,2327334,50,13,1597209
Malawi,MWI,Africa,3228,5949484,83,16,1597210
Malaysia,MYS,Asia,5071,2831521,106,13,1597211
Maldives,MDV,Asia,54,62526,15,8,1597212
Mali,MLI,Africa,3711,5398088,88,18,1597213
Malta,MLT,Europe,49,18794,26,6,1597214
Martinique,MTQ,North America,24,8862,6,6,1597215
Mauritania,MRT,Africa,37,35084,13,5,1597216
Mauritius,MUS,Africa,48,13408,15,6,1597217
Mexico,MEX,North America,141017,39015621,616,35,1597218
"Micronesia, Federated States of",FSM,Oceania,7,3440,1,1,1597219
Moldova,MDA,Europe,306,139099,53,12,1597220
Monaco,MCO,Europe,1,400,1,1,1597221
Mongolia,MNG,Asia,781,570483,209,17,1597222
Montenegro,MNE,Europe,60,26091,13,4,1597223
Montserrat,MSR,North America,10,6352,7,3,1597224
Morocco,MAR,Africa,5619,2685733,325,21,1597225
Mozambique,MOZ,Africa,414,408709,32,14,1597226
Myanmar,MMR,Asia,2904,1530067,54,13,1597227
Namibia,NAM,Africa,1689,3482297,40,11,1597228
Nepal,NPL,Asia,7551,12967471,180,25,1597229
Netherlands,NLD,Europe,6072,2076368,353,23,1597230
Netherlands Antilles,ANT,North America,7,3500,3,2,1597231
New Caledonia,NCL,Oceania,5,1800,4,2,1597232
New Zealand,NZL,Oceania,965,1713439,129,20,1597233
Nicaragua,NIC,North America,693,144388,39,18,1597234
Niger,NER,Africa,4999,5340923,79,13,1597235
Nigeria,NGA,Africa,12046,11703987,146,20,1597236
Norfolk Island,NFK,Oceania,3,600,2,1,1597237
Northern Mariana Islands,MNP,Oceania,1,100,1,1,1597238
Norway,NOR,Europe,2432,1219101,110,17,1597239
Oman,OMN,Asia,339,162699,27,11,1597240
Pakistan,PAK,Asia,13337,6810046,231,29,1597241
Palau,PLW,Oceania,8,3100,2,2,1597242
"Palestinian territory, occupied",PSE,Asia,77,33650,27,5,1597243
Panama,PAN,North America,966,712129,104,14,1597244
Papua New Guinea,PNG,Oceania,241,148608,72,12,1597245
Paraguay,PRY,South America,878,323409,92,21,1597246
Peru,PER,South America,16199,3899619,615,35,1597247
Philippines,PHL,Asia,13269,6620063,109,21,1597248
Poland,POL,Europe,2895,1153762,421,24,1597249
Portugal,PRT,Europe,3264,1711544,398,27,1597250
Puerto Rico,PRI,North America,491,133156,40,18,1597251
Reunion,REU,Africa,2,600,2,2,1597252
Romania,ROU,Europe,1522,651640,306,21,1597253
Russia,RUS,Europe,9184,6839371,633,27,1597254
Rwanda,RWA,Africa,772,436089,44,13,1597255
Saint Helena,SHN,Africa,5,898,2,2,1597256
Saint Kitts and Nevis,KNA,North America,35,21009,11,5,1597257
Saint Lucia,LCA,North America,34,15123,7,8,1597258
Saint Vincent and the Grenadines,VCT,North America,42,15977,2,3,1597259
San Marino,SMR,Europe,8,3907,3,2,1597260
Sao Tome and Principe,STP,Africa,1,400,1,1,1597261
Saudi Arabia,SAU,Asia,153,92057,25,10,1597262
Senegal,SEN,Africa,2704,3075790,57,16,1597263
Serbia,SRB,Europe,298,120805,26,7,1597264
Serbia and Montenegro,YUG,Europe,995,369403,205,26,1597265
Serbia And Montenegro,SCG,Europe,168,56703,23,3,1597266
Seychelles,SYC,Africa,13,2800,4,3,1597267
Sierra Leone,SLE,Africa,1857,1537983,14,7,1597268
Singapore,SGP,Asia,13,7499,8,5,1597269
Slovak Republic,SVK,Europe,866,366366,172,15,1597270
